OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
26028,2022009,1,1,
26029,2022004,1,1,
26030,2022005,1,1,
26031,2022006,1,1,
26032,2022014,1,1,
26033,2022019,1,1,
26034,2022020,1,1,
26035,2022021,1,1,
26036,2022016,1,1,
26037,2022025,1,1,
26038,2022027,1,1,
26039,2022023,1,1,
26040,2022024,1,1,
26041,2022031,1,1,
26042,2022032,1,1,
26043,2022030,1,1,
26044,2022035,1,1,
26045,2022036,1,1,
26046,2022037,1,1,
26047,2022038,1,1,
26048,2022040,1,1,
26049,2022041,1,1,
26050,2022041,2,1,
26051,2022050,1,1,
26052,2022049,1,1,
26053,2022045,2,1,
26054,2022044,2,1,
26055,2022043,1,1,
26056,2022048,1,1,
26057,2022047,2,1,
26058,2022046,1,1,
26059,2022042,1,1,
26060,2021833,1,1,
26061,2021842,1,1,
26062,2021844,1,1,
26063,2021845,1,1,
26064,2021846,1,1,
26065,2021847,1,1,
26066,2021855,1,1,
26067,2021851,1,1,
26068,2021852,1,1,
26069,2021853,1,1,
26070,2021856,1,1,
26071,2021857,1,1,
26072,2021858,1,2,
26073,2021859,2,2,
26074,2021860,1,1,
26075,2021863,1,2,
26076,2021866,1,1,
26077,2021867,1,1,
26078,2021868,1,1,
26079,2021870,1,1,
26080,2021872,1,1,
26081,2021873,1,2,
26082,2021874,1,2,
26083,2021878,1,1,
26084,2021876,1,1,
26085,2021885,1,2,
26086,2021891,1,2,
26087,2021888,1,1,
26088,2021889,1,1,
26089,2021893,1,2,
26090,2021896,2,1,
26091,2021895,1,1,
26092,2021898,1,1,
26093,2021900,1,1,
26094,2021902,1,1,
26095,2021903,1,1,
26096,2021904,1,1,
26097,2021907,1,1,
26098,2021906,1,1,
26099,2021905,1,1,
26100,2021911,1,1,
26101,2021912,1,1,
26102,2021913,1,1,
26103,2021920,1,1,
26104,2021921,1,1,
26105,2021922,1,1,
26106,2021919,1,1,
26107,2021926,1,3,
26108,2021925,1,1,
26109,2021929,1,2,
26110,2021930,1,1,
26111,2021776,1,1,
26112,2021782,1,1,
26113,2021787,1,1,
26114,2021788,1,1,
26115,2021789,1,1,
26116,2021790,1,1,
26117,2021792,1,2,
26118,2021795,1,1,
26119,2021796,1,1,
26120,2021800,1,1,
26121,2021803,1,1,
26122,2021804,1,1,
26123,2021798,1,1,
26124,2021806,1,1,
26125,2021808,1,1,
26126,2021814,1,1,
26127,2021815,1,1,
26128,2021816,1,1,
26129,2021817,2,1,
26130,2021818,1,1,
26131,2021819,1,1,
26132,2021823,1,1,
26133,2021827,1,3,
26134,2021829,1,1,
26135,2021830,1,2,
26136,2021831,1,2,
26137,2022060,1,1,
26138,2022061,1,1,
26139,2022062,1,1,
26140,2022063,1,1,
26141,2022064,1,1,
26142,2022065,1,1,
26143,2022066,1,2,
26144,2022067,1,1,
26145,2022069,1,1,
26146,2022070,1,1,
26147,2022071,1,1,
26148,2022072,1,2,
26149,2022073,1,1,
26150,2022074,1,1,
26151,2022077,2,2,
26152,2022081,1,1,
26153,2022083,1,1,
26154,2022078,1,1,
26155,2022079,1,2,
26156,2022080,1,2,
26157,2022084,1,1,
26158,2022085,1,1,
26159,2022086,1,1,
26160,2022088,1,1,
26161,2022089,1,2,
26162,2022093,1,1,
26163,2022094,1,1,
26164,2022091,1,1,
26165,2022092,2,1,
26166,2022097,1,1,
26167,2022099,1,1,
26168,2022105,2,1,
26169,2022106,1,1,
26170,2022103,1,1,
26171,2022104,1,1,
26172,2022108,1,1,
26173,2022118,1,1,
26174,2022115,1,2,
26175,2022126,1,1,
26176,2022121,1,1,
26177,2022122,1,1,
26178,2022125,1,1,
26179,2022135,1,1,
26180,2022132,1,1,
26181,2022137,1,1,
26182,2022138,1,1,
26183,2022139,1,1,
