OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
"36,927","2,034,104",1,2,
"36,928","2,034,105",1,4,
"36,929","2,034,106",1,3,
"36,930","2,034,107",1,3,
"36,931","2,034,108",1,3,
"36,932","2,034,109",1,3,
"36,933","2,034,110",1,4,
"36,934","2,034,111",1,3,
"36,935","2,034,112",1,4,
"36,936","2,034,113",4,5,
"36,937","2,034,114",1,3,
"36,938","2,034,115",1,4,
"36,939","2,034,116",1,4,
"36,940","2,034,117",1,5,
"36,941","2,034,118",1,4,
"36,942","2,034,119",1,3,
"36,943","2,034,120",1,4,
"36,944","2,034,121",1,2,
"36,945","2,034,122",1,4,
"36,946","2,034,123",1,4,
"36,947","2,034,124",1,4,
"36,948","2,034,125",1,4,
"36,949","2,034,126",1,4,
"36,950","2,034,127",1,6,
"36,951","2,034,128",1,4,
"36,952","2,034,129",1,3,
"36,953","2,034,130",1,3,
"36,954","2,034,131",1,3,
"36,955","2,034,132",1,3,
"36,956","2,034,133",1,3,
"36,957","2,034,134",1,3,
"36,958","2,034,135",1,3,
"36,959","2,034,136",1,4,
"36,960","2,034,137",1,4,
"36,961","2,034,138",1,8,
"36,962","2,034,139",1,4,
"36,963","2,034,140",1,4,
"36,964","2,034,141",1,4,
"36,965","2,034,142",1,5,
"36,966","2,034,143",1,5,
"36,967","2,034,144",1,4,
"36,968","2,034,145",1,4,
"36,969","2,034,146",1,4,
"36,970","2,034,147",1,4,
"36,971","2,034,148",1,4,
"36,972","2,034,149",1,3,
"36,973","2,034,150",1,4,
"36,974","2,034,151",1,4,
"36,975","2,034,152",1,2,
"36,976","2,034,153",1,3,
"36,977","2,034,154",1,3,
"36,978","2,034,155",1,3,
"36,979","2,034,156",1,4,
"36,980","2,034,157",1,3,
"36,981","2,034,158",1,3,
"36,982","2,034,159",1,3,
"36,983","2,034,160",1,3,
"36,984","2,034,161",1,3,
"36,985","2,034,162",1,2,
"36,986","2,034,166",1,9,
"36,987","2,034,163",1,7,
"36,988","2,034,164",1,6,
"36,989","2,034,165",1,7,
"36,990","2,034,167",1,9,
"36,991","2,034,168",1,9,
"36,992","2,034,169",1,2,
"36,993","2,034,170",1,9,
"36,994","2,034,171",1,2,
"36,995","2,034,172",1,9,
"36,996","2,034,173",1,9,
"36,997","2,034,174",1,9,
"36,998","2,034,175",1,9,
"36,999","2,034,176",1,9,
"37,000","2,034,177",1,9,
"37,001","2,034,178",1,9,
"37,002","2,034,179",1,7,
"37,003","2,034,180",1,3,
"37,004","2,034,184",1,8,
"37,005","2,034,185",1,8,
