OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
36993,2034170,1,9,
36994,2034171,1,2,
36995,2034172,1,9,
36996,2034173,1,9,
36997,2034174,1,9,
36998,2034175,1,9,
36999,2034176,1,9,
37000,2034177,1,9,
37001,2034178,1,9,
37002,2034179,1,7,
37003,2034180,1,3,
37004,2034184,1,8,
37005,2034185,1,8,
37006,2034186,1,7,
37007,2034181,1,3,
37008,2034182,1,3,
37009,2034183,1,7,
37010,2034190,1,3,
37011,2034191,1,3,
37012,2034192,1,4,
37013,2034187,1,4,
37014,2034188,1,3,
37015,2034189,1,2,
37016,2034198,1,5,
37017,2034200,1,2,
37018,2034196,1,5,
37019,2034193,1,9,
37020,2034194,1,9,
37021,2034195,1,2,
37022,2034197,1,7,
37023,2034199,1,9,
37024,2034201,1,9,
37025,2034203,1,4,
37026,2034204,1,4,
37027,2034205,1,4,
37028,2034206,1,4,
37029,2034207,1,4,
37030,2034208,1,5,
37031,2034210,1,3,
37032,2034209,1,4,
37033,2034211,1,4,
37034,2034212,1,4,
37035,2034213,1,2,
37036,2034214,1,2,
37037,2034218,1,4,
37038,2034219,1,5,
37039,2034220,1,5,
37040,2034215,1,4,
37041,2034216,1,2,
37042,2034217,1,2,
37043,2034221,1,5,
37044,2034222,1,5,
37045,2034223,1,5,
37046,2034224,1,5,
37047,2034225,1,5,
37048,2034226,1,3,
37049,2034230,1,3,
37050,2034231,1,3,
37051,2034232,1,3,
37052,2034227,1,5,
37053,2034228,1,3,
37054,2034229,1,5,
37055,2034236,1,5,
37056,2034237,1,5,
37057,2034238,1,4,
37058,2034233,1,5,
37059,2034234,1,2,
37060,2034235,1,5,
37061,2034239,1,5,
37062,2034240,1,2,
37063,2034241,1,4,
37064,2034242,1,2,
37065,2034243,1,5,
37066,2034244,1,5,
37067,2034248,1,5,
37068,2034249,1,5,
37069,2034250,1,5,
37070,2034245,1,5,
37071,2034247,1,5,
37072,2034246,1,2,
37073,2034251,1,5,
37074,2034252,1,3,
37075,2034253,1,3,
37076,2034254,1,6,
37077,2034255,1,2,
37078,2034256,1,4,
37079,2034260,1,5,
37080,2034261,1,5,
