OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
"25,962","2,021,751",1,1,
"25,963","2,021,756",1,2,
"25,964","2,021,757",1,3,
"25,965","2,021,753",1,3,
"25,966","2,021,754",1,2,
"25,967","2,021,755",1,1,
"25,968","2,021,762",2,2,
"25,969","2,021,763",10,1,
"25,970","2,021,760",1,1,
"25,971","2,021,765",1,1,
"25,972","2,020,985",2,2,
"25,973","2,020,984",2,2,
"25,974","2,020,987",2,2,
"25,975","2,020,990",1,1,
"25,976","2,020,991",2,2,
"25,977","2,020,992",1,1,
"25,978","2,020,994",1,1,
"25,979","2,020,995",1,1,
"25,980","2,021,767",1,1,
"25,981","2,021,771",1,1,
"25,982","2,021,773",1,1,
"25,983","2,021,937",1,1,
"25,984","2,021,940",1,1,
"25,985","2,021,943",1,1,
"25,986","2,021,945",1,1,
"25,987","2,021,944",1,1,
"25,988","2,021,946",1,1,
"25,989","2,021,949",1,1,
"25,990","2,021,942",1,1,
"25,991","2,021,950",1,1,
"25,992","2,021,954",1,1,
"25,993","2,021,955",1,1,
"25,994","2,021,956",1,1,
"25,995","2,021,957",1,1,
"25,996","2,021,958",1,1,
"25,997","2,021,959",1,1,
"25,998","2,021,960",1,1,
"25,999","2,021,961",1,1,
"26,000","2,021,962",1,1,
"26,001","2,021,972",1,2,
"26,002","2,021,973",1,1,
"26,003","2,021,968",1,1,
"26,004","2,021,969",1,1,
"26,005","2,021,970",1,1,
"26,006","2,021,979",1,1,
"26,007","2,021,977",1,1,
"26,008","2,021,974",1,1,
"26,009","2,021,983",1,3,
"26,010","2,021,984",1,1,
"26,011","2,021,985",1,1,
"26,012","2,021,976",1,1,
"26,013","2,021,975",1,2,
"26,014","2,021,982",2,1,
"26,015","2,021,989",1,1,
"26,016","2,021,990",2,1,
"26,017","2,021,991",1,1,
"26,018","2,021,986",1,1,
"26,019","2,021,987",1,1,
"26,020","2,021,988",1,1,
"26,021","2,021,992",1,1,
"26,022","2,021,993",1,2,
"26,023","2,022,002",1,1,
"26,024","2,022,003",1,1,
