OBJECTID,Pole_id,Pole_T_type,Quantity,Note_
"40,088","2,021,783",2,2,
"40,089","2,021,784",2,2,
"40,090","2,021,785",2,2,
"40,091","2,021,787",2,3,
"40,092","2,021,786",2,2,
"40,093","2,021,788",2,2,
"40,094","2,021,789",1,4,
"40,095","2,021,790",2,4,
"40,096","2,021,791",2,4,
"40,097","2,021,792",2,4,
"40,098","2,021,793",2,4,
"40,099","2,021,794",2,4,
"40,100","2,021,795",2,2,
"40,101","2,021,796",2,2,
"40,102","2,021,797",2,2,
"40,103","2,021,799",2,4,
"40,104","2,021,800",2,4,
"40,105","2,021,803",2,2,
"40,106","2,021,804",1,6,
"40,107","2,021,805",2,3,
"40,108","2,021,798",2,3,
"40,109","2,021,801",2,4,
"40,110","2,021,802",2,4,
"40,111","2,021,806",2,3,
"40,112","2,021,807",2,3,
"40,113","2,021,808",2,3,
"40,114","2,021,809",2,3,
"40,115","2,021,810",2,3,
"40,116","2,021,811",2,5,
"40,117","2,021,812",2,2,
"40,118","2,021,813",2,2,
"40,119","2,021,814",2,2,
"40,120","2,021,815",2,4,
"40,121","2,021,816",2,2,
"40,122","2,022,325",2,4,
"40,123","2,021,817",2,4,
"40,124","2,021,818",2,4,
"40,125","2,021,819",2,4,
"40,126","2,021,820",2,2,
"40,127","2,021,821",2,2,
"40,128","2,021,822",2,2,
"40,129","2,021,823",2,2,
"40,130","2,021,824",2,4,
"40,131","2,021,825",2,4,
"40,132","2,021,826",2,2,
"40,133","2,021,827",2,2,
"40,134","2,021,828",2,2,
"40,135","2,021,829",2,3,
"40,136","2,021,830",2,5,
"40,137","2,021,831",2,3,
"40,138","2,022,054",2,7,
"40,139","2,022,055",2,7,
"40,140","2,022,056",2,9,
"40,141","2,022,057",2,4,
"40,142","2,022,058",2,7,
"40,143","2,022,059",2,5,
"40,144","2,022,060",2,8,
"40,145","2,022,061",2,8,
"40,146","2,022,062",2,4,
"40,147","2,022,063",2,4,
"40,148","2,022,064",2,4,
"40,149","2,022,065",2,4,
"40,150","2,022,066",2,4,
"40,151","2,022,067",2,4,
"40,152","2,022,068",2,7,
"40,153","2,022,069",2,3,
"40,154","2,022,070",2,3,
"40,155","2,022,071",2,6,
"40,156","2,022,072",2,2,
"40,157","2,022,073",2,4,
"40,158","2,022,074",2,4,
"40,159","2,022,075",2,4,
"40,160","2,022,076",2,4,
"40,161","2,022,077",2,4,
"40,162","2,022,081",2,5,
"40,163","2,022,082",2,3,
"40,164","2,022,083",2,5,
"40,165","2,022,078",2,4,
"40,166","2,022,079",2,4,
"40,167","2,022,080",2,5,
"40,168","2,022,084",2,5,
"40,169","2,022,085",2,2,
"40,170","2,022,086",2,4,
"40,171","2,022,087",2,4,
"40,172","2,022,088",2,4,
"40,173","2,022,089",2,4,
"40,174","2,022,093",2,4,
"40,175","2,022,094",2,2,
"40,176","2,022,090",2,4,
"40,177","2,022,091",2,4,
"40,178","2,022,092",2,4,
"40,179","2,022,096",2,13,
"40,180","2,022,097",2,4,
"40,181","2,022,098",2,3,
"40,182","2,022,099",2,2,
"40,183","2,022,100",2,2,
"40,184","2,022,101",2,12,
"40,185","2,022,105",2,2,
"40,186","2,022,106",2,4,
"40,187","2,022,107",2,8,
"40,188","2,022,102",2,20,
"40,189","2,022,103",2,4,
"40,190","2,022,104",2,4,
"40,191","2,022,111",2,4,
"40,192","2,022,112",2,4,
"40,193","2,022,113",2,2,
"40,194","2,022,108",2,2,
"40,195","2,022,109",2,4,
"40,196","2,022,110",2,4,
"40,197","2,022,117",2,4,
"40,198","2,022,118",2,4,
"40,199","2,022,119",2,2,
"40,200","2,022,114",2,2,
"40,201","2,022,115",2,2,
"40,202","2,022,116",2,4,
"40,203","2,022,123",2,4,
"40,204","2,022,124",2,4,
"40,205","2,022,126",2,2,
"40,206","2,022,120",1,3,
"40,207","2,022,121",2,2,
"40,208","2,022,122",1,4,
"40,209","2,022,129",2,3,
"40,210","2,022,130",2,3,
"40,211","2,022,131",1,3,
"40,212","2,022,125",2,4,
"40,213","2,022,127",2,4,
"40,214","2,022,128",2,4,
"40,215","2,022,326",2,3,
"40,216","2,022,135",2,2,
"40,217","2,022,136",2,2,
"40,218","2,022,132",2,2,
"40,219","2,022,133",2,4,
"40,220","2,022,134",2,3,
"40,221","2,022,137",2,2,
"40,222","2,022,138",2,3,
"40,223","2,022,139",2,6,
"40,224","2,022,140",2,4,
"40,225","2,022,141",2,4,
"40,226","2,022,142",2,5,
"40,227","2,022,146",2,5,
"40,228","2,022,147",2,9,
"40,229","2,022,148",2,9,
"40,230","2,022,156",2,4,
"40,231","2,022,153",2,4,
"40,232","2,022,154",2,3,
"40,233","2,022,149",2,5,
"40,234","2,022,150",2,4,
"40,235","2,022,151",2,4,
"40,236","2,022,155",2,4,
"40,237","2,022,164",2,4,
"40,238","2,022,163",2,4,
"40,239","2,022,162",1,3,
"40,240","2,022,161",2,4,
"40,241","2,022,157",2,4,
"40,242","2,022,165",2,5,
"40,243","2,022,166",2,5,
"39,359","2,021,232",2,4,
"39,360","2,021,233",2,4,
"39,361","2,021,234",1,5,
"39,362","2,021,235",2,5,
"39,363","2,021,236",2,4,
"39,364","2,021,237",2,5,
"39,365","2,021,238",2,5,
"39,366","2,021,239",2,4,
"39,367","2,021,240",2,5,
"39,368","2,021,241",2,5,
"39,369","2,021,242",2,5,
"39,370","2,021,243",2,5,
"39,371","2,021,244",2,5,
"39,372","2,021,245",2,9,
"39,373","2,021,246",1,5,
"39,374","2,021,247",2,4,
"39,375","2,021,248",2,4,
"39,376","2,021,249",2,5,
"39,377","2,021,250",2,5,
"39,378","2,021,252",1,5,
"39,379","2,021,251",1,5,
"39,380","2,021,253",1,8,
"39,381","2,021,254",1,10,
"39,382","2,021,255",2,5,
"39,383","2,021,256",2,5,
"39,384","2,021,257",2,3,
"39,385","2,021,258",2,2,
"39,386","2,021,259",2,2,
"39,387","2,021,260",1,5,
"39,388","2,021,261",1,5,
"39,389","2,021,262",1,10,
"39,390","2,021,263",1,9,
"39,391","2,021,264",1,9,
"39,392","2,021,265",1,5,
"39,393","2,021,266",1,14,
"39,394","2,021,267",1,5,
"39,395","2,021,268",1,5,
"39,396","2,021,269",1,7,
"39,397","2,021,270",1,5,
"39,398","2,021,271",2,4,
"39,399","2,021,272",1,5,
"39,400","2,021,273",1,5,
"39,401","2,021,274",2,4,
"39,402","2,021,276",2,3,
"39,403","2,021,277",2,3,
"39,404","2,021,278",1,9,
"39,405","2,021,279",2,3,
"39,406","2,021,280",1,12,
"39,407","2,021,281",2,4,
"39,408","2,021,282",2,4,
"39,409","2,021,283",2,4,
"39,410","2,021,284",2,5,
"39,411","2,021,285",2,4,
"39,412","2,021,286",2,4,
"39,413","2,021,290",2,4,
"39,414","2,021,291",1,4,
"39,415","2,021,292",1,5,
"39,416","2,021,287",1,9,
"39,417","2,021,288",1,5,
"39,418","2,021,289",1,6,
"39,419","2,021,293",1,5,
"39,420","2,021,294",1,9,
"39,421","2,021,295",1,5,
"39,422","2,021,296",2,3,
"39,423","2,021,297",2,3,
"39,424","2,021,298",2,3,
"39,425","2,021,299",2,2,
"39,426","2,021,301",2,4,
"39,427","2,021,302",2,3,
"39,428","2,021,303",2,3,
"39,429","2,021,300",2,3,
"39,430","2,021,305",1,7,
"39,431","2,021,306",1,5,
"39,432","2,021,307",1,5,
"39,433","2,021,308",1,5,
"39,434","2,021,309",1,5,
"39,435","2,021,310",1,5,
"39,436","2,021,311",1,5,
"39,437","2,021,312",1,5,
"39,438","2,021,313",2,4,
"39,439","2,021,314",2,3,
"39,440","2,021,315",2,2,
"39,441","2,021,316",1,5,
"39,442","2,021,317",2,3,
"39,443","2,021,318",2,3,
"39,444","2,021,320",2,5,
"39,445","2,021,321",2,5,
"39,446","2,021,322",2,2,
"39,447","2,021,323",1,2,
"39,448","2,021,324",2,2,
"39,449","2,021,325",2,4,
"39,450","2,021,326",2,3,
"39,451","2,021,327",2,5,
"39,452","2,021,328",2,5,
"39,453","2,021,329",2,4,
"39,454","2,021,330",2,4,
"39,455","2,021,331",2,4,
"39,456","2,021,332",2,3,
"39,457","2,021,333",1,4,
"39,458","2,021,334",2,4,
"39,459","2,021,335",2,4,
"39,460","2,021,336",2,2,
"39,461","2,021,337",2,5,
"39,462","2,021,338",1,5,
"39,463","2,021,339",1,5,
"39,464","2,021,340",1,5,
"39,465","2,021,341",2,4,
"39,466","2,021,342",1,7,
"39,467","2,021,343",1,5,
"39,468","2,021,344",1,5,
"39,469","2,021,345",1,5,
"39,470","2,021,346",1,5,
"39,471","2,021,347",2,2,
"39,472","2,021,348",2,4,
"39,473","2,021,349",1,8,
"39,474","2,021,350",2,3,
"39,475","2,021,351",2,2,
"39,476","2,021,352",2,4,
"39,477","2,021,353",1,4,
"39,478","2,021,354",2,3,
"39,479","2,021,355",2,5,
"39,480","2,021,356",1,5,
"39,481","2,021,358",1,6,
"39,482","2,021,359",1,2,
"39,483","2,021,360",1,2,
"39,484","2,021,361",1,9,
"39,485","2,021,362",2,2,
"39,486","2,021,363",1,6,
"39,487","2,021,364",2,3,
"39,488","2,021,365",1,5,
"39,489","2,021,366",1,8,
"39,490","2,021,367",2,5,
"39,491","2,021,368",2,3,
"39,492","2,021,369",2,4,
"39,493","2,021,370",2,4,
"39,494","2,021,371",2,4,
"39,495","2,021,372",2,4,
"39,496","2,021,373",2,4,
"39,497","2,021,374",2,5,
"39,498","2,021,375",2,4,
"39,499","2,021,376",2,5,
"39,500","2,021,377",2,4,
"39,501","2,021,378",2,4,
"39,502","2,021,379",2,3,
"39,503","2,021,380",2,5,
"39,504","2,021,381",2,5,
"39,505","2,021,382",2,2,
"39,506","2,021,383",2,3,
"39,507","2,021,384",1,5,
"39,508","2,021,385",1,5,
"39,509","2,021,386",1,1,
"39,510","2,021,387",2,4,
"39,511","2,021,388",1,5,
"39,512","2,021,389",1,4,
"39,513","2,021,390",2,4,
"39,514","2,021,391",1,4,
"39,515","2,021,392",1,5,
"39,516","2,021,393",1,9,
"39,517","2,021,394",1,7,
"39,518","2,021,395",1,5,
"39,519","2,021,396",1,8,
"39,520","2,021,397",1,5,
"39,521","2,021,398",1,5,
"39,522","2,021,399",1,5,
"39,523","2,021,400",2,3,
"39,524","2,021,401",1,5,
"39,525","2,021,402",1,4,
"39,526","2,021,403",2,3,
"39,527","2,021,404",1,5,
"39,528","2,021,405",1,6,
"39,529","2,021,406",2,66,
"39,530","2,021,407",2,4,
"39,531","2,021,408",2,3,
"39,532","2,021,409",2,2,
"39,533","2,021,410",1,5,
"39,534","2,021,411",1,5,
"39,535","2,021,412",1,4,
"39,536","2,021,413",1,5,
"39,537","2,021,414",1,5,
"39,538","2,021,415",1,5,
"39,539","2,021,416",2,3,
"39,540","2,021,417",1,3,
"39,541","2,021,319",2,3,
"39,542","2,021,357",1,5,
"39,543","2,021,419",2,3,
"39,544","2,021,420",2,4,
"39,545","2,021,421",1,5,
"39,546","2,021,422",1,7,
"39,547","2,021,423",1,5,
"39,548","2,021,424",1,5,
"39,549","2,021,425",1,7,
"39,550","2,021,427",2,5,
"39,551","2,021,428",2,4,
"39,552","2,021,429",2,4,
"39,553","2,021,430",2,4,
"39,554","2,021,431",2,5,
"39,555","2,021,432",2,4,
"39,556","2,021,433",2,5,
"39,557","2,021,434",2,4,
"39,558","2,021,435",1,8,
"39,559","2,021,436",2,4,
"39,560","2,021,437",1,9,
"39,561","2,021,438",1,4,
"39,562","2,021,439",2,3,
"39,563","2,021,440",1,3,
"39,564","2,021,441",2,3,
"39,565","2,021,442",1,6,
"39,566","2,021,443",1,5,
"39,567","2,021,444",2,4,
"39,568","2,021,626",1,9,
"39,569","2,021,627",1,4,
"39,570","2,021,628",1,4,
"39,571","2,021,629",1,4,
"39,572","2,021,630",1,5,
"39,573","2,021,631",1,9,
"39,574","2,021,632",1,4,
"39,575","2,021,633",1,5,
"39,576","2,021,634",1,5,
"39,577","2,020,984",1,5,
"39,578","2,020,985",1,5,
"39,579","2,020,986",1,5,
"39,580","2,020,987",1,5,
"39,581","2,020,988",1,5,
"39,582","2,020,990",1,5,
"39,583","2,020,991",1,5,
"39,584","2,020,992",1,2,
"39,585","2,020,993",1,8,
"39,586","2,020,994",1,5,
"39,587","2,020,995",1,5,
"39,588","2,020,996",1,5,
"39,589","2,020,998",1,2,
"39,590","2,020,999",1,5,
"39,591","2,020,997",1,5,
"39,592","2,021,001",1,5,
"39,593","2,021,002",1,5,
"39,594","2,021,003",1,3,
"39,595","2,021,004",1,5,
"39,596","2,021,005",1,2,
"39,597","2,021,006",1,9,
"39,598","2,021,007",1,9,
"39,599","2,021,008",1,5,
"39,600","2,021,009",1,5,
"39,601","2,021,010",1,7,
"39,602","2,021,011",1,9,
"39,603","2,021,012",1,5,
"39,604","2,021,013",1,5,
"39,605","2,021,014",1,5,
"39,606","2,021,015",1,5,
"39,607","2,021,016",1,5,
"39,608","2,021,017",1,9,
"39,609","2,021,018",1,5,
"39,610","2,021,019",1,2,
"39,611","2,021,020",1,2,
"39,612","2,021,021",1,2,
"39,613","2,021,022",1,4,
"39,614","2,021,023",1,2,
"39,615","2,021,024",1,2,
"39,616","2,021,025",1,2,
"39,617","2,021,026",1,8,
"39,618","2,021,027",1,8,
"39,619","2,021,028",1,5,
"39,620","2,021,066",1,4,
"39,621","2,021,030",1,5,
"39,622","2,021,029",1,4,
"39,623","2,021,031",1,9,
"39,624","2,021,032",1,5,
"39,625","2,021,033",1,5,
"39,626","2,021,034",1,5,
"39,627","2,021,035",1,5,
"39,628","2,021,037",1,3,
"39,629","2,021,036",1,5,
"39,630","2,021,039",1,5,
"39,631","2,021,040",1,10,
"39,632","2,021,042",1,10,
"39,633","2,021,043",1,5,
"39,634","2,021,044",1,7,
"39,635","2,021,045",1,6,
"39,636","2,021,046",1,3,
"39,637","2,021,047",1,13,
"39,638","2,021,048",1,2,
"39,639","2,021,049",1,3,
"39,640","2,021,050",1,5,
"39,641","2,021,051",1,5,
"39,642","2,021,052",1,5,
"39,643","2,021,053",1,5,
"39,644","2,021,057",1,6,
"39,645","2,021,058",1,6,
"39,646","2,021,059",1,7,
"39,647","2,021,054",1,7,
"39,648","2,021,055",1,8,
"39,649","2,021,056",1,8,
"39,650","2,021,060",1,7,
"39,651","2,021,061",1,9,
"39,652","2,021,062",1,4,
"39,653","2,021,063",1,2,
"39,654","2,021,064",1,6,
"39,655","2,021,065",1,8,
"39,656","2,021,067",1,6,
"39,657","2,021,068",1,9,
"39,658","2,021,069",1,9,
"39,659","2,021,070",1,9,
"39,660","2,021,071",1,9,
"39,661","2,021,072",1,9,
"39,662","2,021,073",1,4,
"39,663","2,021,074",1,6,
"39,664","2,021,075",1,8,
"39,665","2,021,076",1,9,
"39,666","2,021,077",1,10,
"39,667","2,021,078",1,2,
"39,668","2,021,079",1,9,
"39,669","2,021,081",1,9,
"39,670","2,021,082",1,5,
"39,671","2,021,083",1,5,
"39,672","2,021,084",1,5,
"39,673","2,021,085",1,5,
"39,674","2,021,086",1,3,
"39,675","2,021,087",1,9,
"39,676","2,021,088",1,7,
"39,677","2,021,089",1,5,
"39,678","2,021,635",1,5,
"39,679","2,021,636",1,3,
"39,680","2,021,637",1,2,
"39,681","2,021,641",2,3,
"39,682","2,021,642",1,4,
"39,683","2,021,643",1,1,
"39,684","2,021,643",2,3,
"39,685","2,021,638",1,5,
"39,686","2,021,639",1,7,
"39,687","2,021,640",1,6,
"39,688","2,021,648",1,6,
"39,689","2,021,644",1,5,
"39,690","2,021,645",1,5,
"39,691","2,021,646",1,4,
"39,692","2,021,649",1,6,
"39,693","2,021,650",1,7,
"39,694","2,021,651",1,4,
"39,695","2,021,652",1,5,
"39,696","2,021,653",1,5,
"39,697","2,021,654",1,2,
"39,698","2,021,655",1,8,
"39,699","2,021,656",1,2,
"39,700","2,021,657",1,4,
"39,701","2,021,658",1,7,
"39,702","2,021,659",1,5,
"39,703","2,021,660",1,5,
"39,704","2,021,662",1,2,
"39,705","2,021,662",2,3,
"39,706","2,021,664",1,5,
"39,707","2,021,666",1,4,
"39,708","2,021,665",1,3,
"39,709","2,021,667",1,5,
"39,710","2,021,668",1,6,
"39,711","2,021,669",1,8,
"39,712","2,021,670",1,7,
"39,713","2,021,671",1,3,
"39,714","2,021,671",2,3,
"39,715","2,021,672",1,8,
"39,716","2,021,673",2,4,
"39,717","2,021,677",2,4,
"39,718","2,021,678",1,8,
"39,719","2,021,679",1,5,
"39,720","2,021,674",1,2,
"39,721","2,021,675",1,9,
"39,722","2,021,676",1,6,
"39,723","2,021,683",2,3,
"39,724","2,021,684",2,2,
"39,725","2,021,690",1,10,
"39,726","2,021,680",2,3,
"39,727","2,021,681",2,2,
"39,728","2,021,682",1,3,
"39,729","2,021,685",1,3,
"39,730","2,021,686",1,2,
"39,731","2,021,687",1,2,
"39,732","2,021,688",2,2,
"39,733","2,021,689",1,4,
"39,734","2,021,691",2,8,
"39,735","2,021,692",2,2,
"39,736","2,021,693",2,3,
"39,737","2,021,694",1,4,
"39,738","2,021,695",1,2,
"39,739","2,021,696",1,6,
"39,740","2,021,697",1,3,
"39,741","2,022,287",1,3,
"39,742","2,022,287",2,4,
"39,743","2,022,288",2,2,
"39,744","2,022,289",2,4,
"39,745","2,022,290",2,4,
"39,746","2,022,291",1,4,
"39,747","2,022,292",1,7,
"39,748","2,022,293",1,5,
"39,749","2,022,294",1,5,
"39,750","2,022,295",1,7,
"39,751","2,022,324",2,4,
"39,752","2,022,296",1,1,
