OBJECTID,Pole_id,Pole_T_type,Quantity,Note_
40154,2022070,2,3,
40155,2022071,2,6,
40156,2022072,2,2,
40157,2022073,2,4,
40158,2022074,2,4,
40159,2022075,2,4,
40160,2022076,2,4,
40161,2022077,2,4,
40162,2022081,2,5,
40163,2022082,2,3,
40164,2022083,2,5,
40165,2022078,2,4,
40166,2022079,2,4,
40167,2022080,2,5,
40168,2022084,2,5,
40169,2022085,2,2,
40170,2022086,2,4,
40171,2022087,2,4,
40172,2022088,2,4,
40173,2022089,2,4,
40174,2022093,2,4,
40175,2022094,2,2,
40176,2022090,2,4,
40177,2022091,2,4,
40178,2022092,2,4,
40179,2022096,2,13,
40180,2022097,2,4,
40181,2022098,2,3,
40182,2022099,2,2,
40183,2022100,2,2,
40184,2022101,2,12,
40185,2022105,2,2,
40186,2022106,2,4,
40187,2022107,2,8,
40188,2022102,2,20,
40189,2022103,2,4,
40190,2022104,2,4,
40191,2022111,2,4,
40192,2022112,2,4,
40193,2022113,2,2,
40194,2022108,2,2,
40195,2022109,2,4,
40196,2022110,2,4,
40197,2022117,2,4,
40198,2022118,2,4,
40199,2022119,2,2,
40200,2022114,2,2,
40201,2022115,2,2,
40202,2022116,2,4,
40203,2022123,2,4,
40204,2022124,2,4,
40205,2022126,2,2,
40206,2022120,1,3,
40207,2022121,2,2,
40208,2022122,1,4,
40209,2022129,2,3,
40210,2022130,2,3,
40211,2022131,1,3,
40212,2022125,2,4,
40213,2022127,2,4,
40214,2022128,2,4,
40215,2022326,2,3,
40216,2022135,2,2,
40217,2022136,2,2,
40218,2022132,2,2,
40219,2022133,2,4,
40220,2022134,2,3,
40221,2022137,2,2,
40222,2022138,2,3,
40223,2022139,2,6,
40224,2022140,2,4,
40225,2022141,2,4,
40226,2022142,2,5,
40227,2022146,2,5,
40228,2022147,2,9,
40229,2022148,2,9,
40230,2022156,2,4,
40231,2022153,2,4,
40232,2022154,2,3,
40233,2022149,2,5,
40234,2022150,2,4,
40235,2022151,2,4,
40236,2022155,2,4,
40237,2022164,2,4,
40238,2022163,2,4,
40239,2022162,1,3,
40240,2022161,2,4,
40241,2022157,2,4,
40242,2022165,2,5,
40243,2022166,2,5,
39359,2021232,2,4,
39360,2021233,2,4,
39361,2021234,1,5,
39362,2021235,2,5,
39363,2021236,2,4,
39364,2021237,2,5,
39365,2021238,2,5,
39366,2021239,2,4,
39367,2021240,2,5,
39368,2021241,2,5,
39369,2021242,2,5,
39370,2021243,2,5,
39371,2021244,2,5,
39372,2021245,2,9,
39373,2021246,1,5,
39374,2021247,2,4,
